name,ingredients,diet,prep_time,cook_time,flavor_profile,course,state,region,ingredient_count,total_time,difficulty,time_category,ingredient_list,search_text
Mysore pak,"Besan flour, semolina, mung bean, jaggery, coconut, skimmed milk powder, sugar, ghee",vegetarian,5,20,sweet,dessert,karnataka,south,8,25,3.9,quick,"['besan flour', 'semolina', 'mung bean', 'jaggery', 'coconut', 'skimmed milk powder', 'sugar', 'ghee']","mysore pak besan flour, semolina, mung bean, jaggery, coconut, skimmed milk powder, sugar, ghee karnataka sweet"
Obbattu holige,"Maida flour, turmeric, coconut, chickpeas, jaggery, ghee, cardamom",vegetarian,180,60,sweet,main course,karnataka,south,7,240,10,slow,"['maida flour', 'turmeric', 'coconut', 'chickpeas', 'jaggery', 'ghee', 'cardamom']","obbattu holige maida flour, turmeric, coconut, chickpeas, jaggery, ghee, cardamom karnataka sweet"
Palathalikalu,"Rice flour, milk",vegetarian,10,25,sweet,dessert,andhra pradesh,south,2,35,2.4,medium,"['rice flour', 'milk']","palathalikalu rice flour, milk andhra pradesh sweet"
Poornalu,"Chana dal, jaggery",vegetarian,240,60,sweet,dessert,andhra pradesh,south,2,300,10,slow,"['chana dal', 'jaggery']","poornalu chana dal, jaggery andhra pradesh sweet"
Pongal,"Rice, jaggery, cashews, ghee",vegetarian,5,20,sweet,dessert,tamil nadu,south,4,25,2.6,quick,"['rice', 'jaggery', 'cashews', 'ghee']","pongal rice, jaggery, cashews, ghee tamil nadu sweet"
Pootharekulu,"Rice flour, powdered sugar, ghee",vegetarian,10,60,sweet,dessert,andhra pradesh,south,3,70,4.5,slow,"['rice flour', 'powdered sugar', 'ghee']","pootharekulu rice flour, powdered sugar, ghee andhra pradesh sweet"
Qubani ka meetha,"Apricots, sugar syrup",vegetarian,10,20,sweet,dessert,telangana,south,2,30,2.2,medium,"['apricots', 'sugar syrup']","qubani ka meetha apricots, sugar syrup telangana sweet"
Sheer korma,"Vermicelli pudding, milk",vegetarian,10,20,sweet,dessert,telangana,south,2,30,2.2,medium,"['vermicelli pudding', 'milk']","sheer korma vermicelli pudding, milk telangana sweet"
Unni Appam,"Rice flour, banana, jaggery, coconut",vegetarian,10,20,sweet,dessert,tamil nadu,south,4,30,2.8,medium,"['rice flour', 'banana', 'jaggery', 'coconut']","unni appam rice flour, banana, jaggery, coconut tamil nadu sweet"
Kajjikaya,"Rice flour, jaggery, coconut",vegetarian,40,15,sweet,dessert,andhra pradesh,south,3,55,3.8,medium,"['rice flour', 'jaggery', 'coconut']","kajjikaya rice flour, jaggery, coconut andhra pradesh sweet"
Anarsa,"Rice flour, jaggery, khus-khus seeds",vegetarian,10,50,sweet,dessert,maharashtra,west,3,60,4,slow,"['rice flour', 'jaggery', 'khus-khus seeds']","anarsa rice flour, jaggery, khus-khus seeds maharashtra sweet"
Basundi,"Sugar, milk, nuts",vegetarian,10,35,sweet,dessert,gujarat,west,3,45,3.2,medium,"['sugar', 'milk', 'nuts']","basundi sugar, milk, nuts gujarat sweet"
Dhondas,"Cucumber, rava",vegetarian,10,50,sweet,dessert,maharashtra,west,2,60,3.7,slow,"['cucumber', 'rava']","dhondas cucumber, rava maharashtra sweet"
Doodhpak,"Milk, rice, sugar, dry fruits",vegetarian,10,60,sweet,dessert,gujarat,west,4,70,4.8,slow,"['milk', 'rice', 'sugar', 'dry fruits']","doodhpak milk, rice, sugar, dry fruits gujarat sweet"
Mahim halwa,"Semolina, sugar",vegetarian,10,25,sweet,dessert,maharashtra,west,2,35,2.4,medium,"['semolina', 'sugar']","mahim halwa semolina, sugar maharashtra sweet"
Modak,"Rice flour, coconut, jaggery",vegetarian,10,15,sweet,dessert,maharashtra,west,3,25,2.2,quick,"['rice flour', 'coconut', 'jaggery']","modak rice flour, coconut, jaggery maharashtra sweet"
Shankarpali,"Sugar, ghee, maida flour, semolina",vegetarian,10,35,sweet,dessert,maharashtra,west,4,45,3.6,medium,"['sugar', 'ghee', 'maida flour', 'semolina']","shankarpali sugar, ghee, maida flour, semolina maharashtra sweet"
Shrikhand,"Curd, sugar, saffron, cardamom",vegetarian,10,720,sweet,dessert,maharashtra,west,4,730,10,slow,"['curd', 'sugar', 'saffron', 'cardamom']","shrikhand curd, sugar, saffron, cardamom maharashtra sweet"
Sutar feni,"Maida, sugar, ghee",vegetarian,15,55,sweet,dessert,maharashtra,west,3,70,4.5,slow,"['maida', 'sugar', 'ghee']","sutar feni maida, sugar, ghee maharashtra sweet"
Maach Jhol,"Fish, potol, tomato, chillies, ginger, garlic",non vegetarian,10,40,spicy,main course,assam,north east,6,50,4.5,medium,"['fish', 'potol', 'tomato', 'chillies', 'ginger', 'garlic']","maach jhol fish, potol, tomato, chillies, ginger, garlic assam spicy"
Pork Bharta,"Boiled pork, onions, chillies, ginger and garlic",non vegetarian,10,30,spicy,main course,tripura,north east,4,40,3.3,medium,"['boiled pork', 'onions', 'chillies', 'ginger and garlic']","pork bharta boiled pork, onions, chillies, ginger and garlic tripura spicy"
Chak Hao Kheer,"Rice, milk, sugar, cardamom",vegetarian,240,45,sweet,dessert,manipur,north east,4,285,10,slow,"['rice', 'milk', 'sugar', 'cardamom']","chak hao kheer rice, milk, sugar, cardamom manipur sweet"
Galho,"Rice, axone, salt, water, chillies, pork",non vegetarian,5,15,spicy,main course,nagaland,north east,6,20,3,quick,"['rice', 'axone', 'salt', 'water', 'chillies', 'pork']","galho rice, axone, salt, water, chillies, pork nagaland spicy"
Aloo gobi,"Cauliflower, potato, garam masala, turmeric, curry leaves",vegetarian,10,20,spicy,main course,punjab,north,5,30,3.2,medium,"['cauliflower', 'potato', 'garam masala', 'turmeric', 'curry leaves']","aloo gobi cauliflower, potato, garam masala, turmeric, curry leaves punjab spicy"
Aloo tikki,"Rice flour, potato, bread crumbs, garam masala, salt",vegetarian,5,20,spicy,main course,punjab,north,5,25,2.9,quick,"['rice flour', 'potato', 'bread crumbs', 'garam masala', 'salt']","aloo tikki rice flour, potato, bread crumbs, garam masala, salt punjab spicy"
Aloo matar,"Potato, peas, chillies, ginger, garam masala, garlic",vegetarian,5,40,spicy,main course,punjab,north,6,45,4.2,medium,"['potato', 'peas', 'chillies', 'ginger', 'garam masala', 'garlic']","aloo matar potato, peas, chillies, ginger, garam masala, garlic punjab spicy"
Aloo methi,"Potato, fenugreek leaves, chillies, salt, oil",vegetarian,10,40,bitter,main course,punjab,north,5,50,4.2,medium,"['potato', 'fenugreek leaves', 'chillies', 'salt', 'oil']","aloo methi potato, fenugreek leaves, chillies, salt, oil punjab bitter"
Aloo shimla mirch,"Potato, shimla mirch, garam masala, amchur powder, salt",vegetarian,10,40,spicy,main course,punjab,north,5,50,4.2,medium,"['potato', 'shimla mirch', 'garam masala', 'amchur powder', 'salt']","aloo shimla mirch potato, shimla mirch, garam masala, amchur powder, salt punjab spicy"
Bhatura,"Chole, rava, yogurt, plain flour, baking soda",vegetarian,20,20,spicy,main course,punjab,north,5,40,3.7,medium,"['chole', 'rava', 'yogurt', 'plain flour', 'baking soda']","bhatura chole, rava, yogurt, plain flour, baking soda punjab spicy"
Bhindi masala,"Ladies finger, garam masala, kasuri methi, tomatoes, chili powder",vegetarian,20,30,spicy,main course,punjab,north,5,50,4.2,medium,"['ladies finger', 'garam masala', 'kasuri methi', 'tomatoes', 'chili powder']","bhindi masala ladies finger, garam masala, kasuri methi, tomatoes, chili powder punjab spicy"
Biryani,"Chicken thighs, basmati rice, star anise, sweet, green chillies",non vegetarian,30,120,spicy,main course,telangana,south,5,150,9.2,slow,"['chicken thighs', 'basmati rice', 'star anise', 'sweet', 'green chillies']","biryani chicken thighs, basmati rice, star anise, sweet, green chillies telangana spicy"
Butter chicken,"Chicken, greek yogurt, cream, garam masala powder, cashew nuts, butter",non vegetarian,10,35,spicy,main course,nct of delhi,north,6,45,4.2,medium,"['chicken', 'greek yogurt', 'cream', 'garam masala powder', 'cashew nuts', 'butter']","butter chicken chicken, greek yogurt, cream, garam masala powder, cashew nuts, butter nct of delhi spicy"
Chana masala,"Chickpeas, tomato paste, garam masala, ginger, red onion, avocado oil",vegetarian,20,30,spicy,main course,punjab,north,6,50,4.5,medium,"['chickpeas', 'tomato paste', 'garam masala', 'ginger', 'red onion', 'avocado oil']","chana masala chickpeas, tomato paste, garam masala, ginger, red onion, avocado oil punjab spicy"
Chapati,"Whole wheat flour, olive oil, hot water, all purpose flour",vegetarian,10,10,balanced,main course,maharashtra,west,4,20,2.3,quick,"['whole wheat flour', 'olive oil', 'hot water', 'all purpose flour']","chapati whole wheat flour, olive oil, hot water, all purpose flour maharashtra balanced"
Chicken razala,"Chicken, dahi, sesame seeds, garam masala powder, cashew nuts, saffron",non vegetarian,10,35,spicy,main course,west bengal,east,6,45,4.2,medium,"['chicken', 'dahi', 'sesame seeds', 'garam masala powder', 'cashew nuts', 'saffron']","chicken razala chicken, dahi, sesame seeds, garam masala powder, cashew nuts, saffron west bengal spicy"
Chicken Tikka masala,"Naan bread, tomato sauce, skinless chicken breasts, heavy cream, garam masala",non vegetarian,10,50,spicy,main course,punjab,north,5,60,4.7,slow,"['naan bread', 'tomato sauce', 'skinless chicken breasts', 'heavy cream', 'garam masala']","chicken tikka masala naan bread, tomato sauce, skinless chicken breasts, heavy cream, garam masala punjab spicy"
Chicken Tikka,"Chicken, whole wheat bread, rice flour, garam masala powder, whole egg",non vegetarian,120,45,spicy,starter,punjab,north,5,165,9.9,slow,"['chicken', 'whole wheat bread', 'rice flour', 'garam masala powder', 'whole egg']","chicken tikka chicken, whole wheat bread, rice flour, garam masala powder, whole egg punjab spicy"
Chole bhature,"Chole, bhatura, garam masala, bay leaf, cinnamon stick",vegetarian,20,30,spicy,main course,punjab,north,5,50,4.2,medium,"['chole', 'bhatura', 'garam masala', 'bay leaf', 'cinnamon stick']","chole bhature chole, bhatura, garam masala, bay leaf, cinnamon stick punjab spicy"
Daal baati churma,"Moong dal, masoor dal, chana dal, wheat flour, almond",vegetarian,10,90,spicy,main course,rajasthan,west,5,100,6.7,slow,"['moong dal', 'masoor dal', 'chana dal', 'wheat flour', 'almond']","daal baati churma moong dal, masoor dal, chana dal, wheat flour, almond rajasthan spicy"
Daal puri,"Moong dal, garam masala powder, garlic, green chilli, all purpose flour",vegetarian,30,30,spicy,main course,west bengal,east,5,60,4.7,slow,"['moong dal', 'garam masala powder', 'garlic', 'green chilli', 'all purpose flour']","daal puri moong dal, garam masala powder, garlic, green chilli, all purpose flour west bengal spicy"
Dal makhani,"Red kidney beans, urad dal, cream, garam masala, chili powder",vegetarian,10,60,sweet,main course,punjab,north,5,70,5.2,slow,"['red kidney beans', 'urad dal', 'cream', 'garam masala', 'chili powder']","dal makhani red kidney beans, urad dal, cream, garam masala, chili powder punjab sweet"
Dal tadka,"Pigeon peas, garam masala, ginger, red onion, kasuri methi",vegetarian,10,30,spicy,main course,punjab,north,5,40,3.7,medium,"['pigeon peas', 'garam masala', 'ginger', 'red onion', 'kasuri methi']","dal tadka pigeon peas, garam masala, ginger, red onion, kasuri methi punjab spicy"
Dum aloo,"Baby potatoes, garam masala, cashew nuts, kasuri methi, tomatoes",vegetarian,20,50,spicy,main course,jammu  kashmir,north,5,70,5.2,slow,"['baby potatoes', 'garam masala', 'cashew nuts', 'kasuri methi', 'tomatoes']","dum aloo baby potatoes, garam masala, cashew nuts, kasuri methi, tomatoes jammu  kashmir spicy"
Poha,"Beaten rice flakes, potato, curry leaves, green chilies, lemon juice",vegetarian,20,30,spicy,snack,maharashtra,west,5,50,4.2,medium,"['beaten rice flakes', 'potato', 'curry leaves', 'green chilies', 'lemon juice']","poha beaten rice flakes, potato, curry leaves, green chilies, lemon juice maharashtra spicy"
Fara,"Chana dal, whole wheat flour, arhar dal, white urad dal, garam masala powder",vegetarian,10,60,spicy,snack,chhattisgarh,central,5,70,5.2,slow,"['chana dal', 'whole wheat flour', 'arhar dal', 'white urad dal', 'garam masala powder']","fara chana dal, whole wheat flour, arhar dal, white urad dal, garam masala powder chhattisgarh spicy"
Kachori,"Moong dal, rava, garam masala, dough, fennel seeds",vegetarian,30,60,spicy,snack,uttar pradesh,north,5,90,6.2,slow,"['moong dal', 'rava', 'garam masala', 'dough', 'fennel seeds']","kachori moong dal, rava, garam masala, dough, fennel seeds uttar pradesh spicy"
Kadai paneer,"Cottage cheese, bell peppers, gravy, garam masala, cashew nuts",vegetarian,20,30,spicy,main course,punjab,north,5,50,4.2,medium,"['cottage cheese', 'bell peppers', 'gravy', 'garam masala', 'cashew nuts']","kadai paneer cottage cheese, bell peppers, gravy, garam masala, cashew nuts punjab spicy"
Kadhi pakoda,"Besan, garam masala powder, gram flour, ginger, curry leaves",vegetarian,10,60,spicy,main course,haryana,north,5,70,5.2,slow,"['besan', 'garam masala powder', 'gram flour', 'ginger', 'curry leaves']","kadhi pakoda besan, garam masala powder, gram flour, ginger, curry leaves haryana spicy"
Karela bharta,"Bitter gourd, fennel, garam masala powder, chili powder, amchur powder",vegetarian,20,50,bitter,main course,punjab,north,5,70,5.2,slow,"['bitter gourd', 'fennel', 'garam masala powder', 'chili powder', 'amchur powder']","karela bharta bitter gourd, fennel, garam masala powder, chili powder, amchur powder punjab bitter"
Khichdi,"Moong dal, green peas, ginger, tomato, green chili",vegetarian,40,20,spicy,main course,pan-india,multi-regional,5,60,4.7,slow,"['moong dal', 'green peas', 'ginger', 'tomato', 'green chili']","khichdi moong dal, green peas, ginger, tomato, green chili pan-india spicy"
Kofta,"Paneer, potato, cream, corn flour, garam masala",vegetarian,20,40,spicy,main course,uttar pradesh,north,5,60,4.7,slow,"['paneer', 'potato', 'cream', 'corn flour', 'garam masala']","kofta paneer, potato, cream, corn flour, garam masala uttar pradesh spicy"
Kulfi falooda,"Rose syrup, falooda sev, mixed nuts, saffron, sugar",vegetarian,45,25,sweet,dessert,pan-india,multi-regional,5,70,5.2,slow,"['rose syrup', 'falooda sev', 'mixed nuts', 'saffron', 'sugar']","kulfi falooda rose syrup, falooda sev, mixed nuts, saffron, sugar pan-india sweet"
Lauki ke kofte,"Bottle gourd, garam masala powder, gram flour, ginger, chillies",vegetarian,20,40,spicy,main course,uttar pradesh,north,5,60,4.7,slow,"['bottle gourd', 'garam masala powder', 'gram flour', 'ginger', 'chillies']","lauki ke kofte bottle gourd, garam masala powder, gram flour, ginger, chillies uttar pradesh spicy"
Lauki ki subji,"Bottle gourd, coconut oil, garam masala, ginger, green chillies",vegetarian,10,20,spicy,main course,pan-india,multi-regional,5,30,3.2,medium,"['bottle gourd', 'coconut oil', 'garam masala', 'ginger', 'green chillies']","lauki ki subji bottle gourd, coconut oil, garam masala, ginger, green chillies pan-india spicy"
Litti chokha,"Wheat flour, roasted gram flour, tomato, nigella seeds, chilli",vegetarian,45,60,spicy,main course,bihar,north,5,105,6.9,slow,"['wheat flour', 'roasted gram flour', 'tomato', 'nigella seeds', 'chilli']","litti chokha wheat flour, roasted gram flour, tomato, nigella seeds, chilli bihar spicy"
Makki di roti sarson da saag,"Palak, makki atta, mustard green, garam masala, ginger",vegetarian,25,30,spicy,main course,punjab,north,5,55,4.4,medium,"['palak', 'makki atta', 'mustard green', 'garam masala', 'ginger']","makki di roti sarson da saag palak, makki atta, mustard green, garam masala, ginger punjab spicy"
Misi roti,"Whole wheat flour, chickpea flour, green chilies",vegetarian,30,30,spicy,main course,punjab,north,3,60,4,slow,"['whole wheat flour', 'chickpea flour', 'green chilies']","misi roti whole wheat flour, chickpea flour, green chilies punjab spicy"
Mushroom do pyaza,"Mushroom, malai, garam masala, ginger, capsicum",vegetarian,10,30,spicy,main course,punjab,north,5,40,3.7,medium,"['mushroom', 'malai', 'garam masala', 'ginger', 'capsicum']","mushroom do pyaza mushroom, malai, garam masala, ginger, capsicum punjab spicy"
Mushroom matar,"Canned coconut milk, frozen green peas, wild mushrooms, garam masala, tomatoes",vegetarian,10,30,spicy,main course,punjab,north,5,40,3.7,medium,"['canned coconut milk', 'frozen green peas', 'wild mushrooms', 'garam masala', 'tomatoes']","mushroom matar canned coconut milk, frozen green peas, wild mushrooms, garam masala, tomatoes punjab spicy"
Naan,"Whole wheat flour, honey, butter, garlic",vegetarian,60,30,balanced,main course,punjab,north,4,90,5.8,slow,"['whole wheat flour', 'honey', 'butter', 'garlic']","naan whole wheat flour, honey, butter, garlic punjab balanced"
Navrattan korma,"Green beans, potatoes, khus khus, low fat, garam masala powder",vegetarian,25,40,spicy,main course,uttar pradesh,north,5,65,4.9,slow,"['green beans', 'potatoes', 'khus khus', 'low fat', 'garam masala powder']","navrattan korma green beans, potatoes, khus khus, low fat, garam masala powder uttar pradesh spicy"
Palak paneer,"Cottage cheese, palak, cream, garam masala, butter",vegetarian,20,40,spicy,main course,punjab,north,5,60,4.7,slow,"['cottage cheese', 'palak', 'cream', 'garam masala', 'butter']","palak paneer cottage cheese, palak, cream, garam masala, butter punjab spicy"
